ID,Section,Status,Pass,Subtopic,Authors,Year,Article Title,Journal,Volume / Issue / Pages,Study Type,Population / Scope,DOI,DOI URL,Full Text URL,PDF Available,Hosting Status,Tags,Suggested Local Filename
10-10,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Emotional Dysregulation / Adults / Meta-analysis,"Beheshti, A.; Chavanon, M.-L.; Christiansen, H.",2020,Emotion dysregulation in adults with attention deficit hyperactivity disorder: a meta-analysis,BMC Psychiatry,"20, 120",Meta-analysis,"13 studies; 2,535 adults; emotion dysregulation, emotional lability, negative emotional responses, and emotion recognition",10.1186/s12888-020-2442-7,https://doi.org/10.1186/s12888-020-2442-7,https://pmc.ncbi.nlm.nih.gov/articles/PMC7069054/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Adults; Emotional Dysregulation; Emotional Lability; Negative Emotional Responses; Meta-analysis; Open Access,10_2020_Beheshti_Emotion-Dysregulation-Adult-ADHD-Meta-Analysis.pdf
10-11,10. Scaffold 10 - Understanding Rejection Sensitivity,Final,,Rejection Sensitivity / Foundational Construct,"Downey, G.; Feldman, S. I.",1996,Implications of rejection sensitivity for intimate relationships,Journal of Personality and Social Psychology,"70(6), 1327-1343",Foundational multi-study rejection-sensitivity construct and measurement paper,Multiple studies operationalizing anxious expectations of rejection and examining perception and relationship outcomes; not ADHD-specific,10.1037/0022-3514.70.6.1327,https://doi.org/10.1037/0022-3514.70.6.1327,https://pubmed.ncbi.nlm.nih.gov/8667172/,Publisher/author access,LINK ONLY - APA copyright,Rejection Sensitivity; Foundational Construct; Rejection Sensitivity Questionnaire; Social Rejection; Relationships; Not ADHD-Specific,10_1996_Downey_Feldman_Rejection-Sensitivity-Foundational.pdf
10-P1-01,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Rejection Sensitivity / Lived Experience / ADHD,"Rowney-Smith, A.; Sutton, B.; Quadt, L.; Eccles, J. A.",2026,The lived experience of rejection sensitivity in ADHD - A qualitative exploration,PLOS ONE,"21(1), e0314669",Qualitative focus-group study,Five undergraduate students with ADHD; thematic analysis of rejection sensitivity experiences,10.1371/journal.pone.0314669,https://doi.org/10.1371/journal.pone.0314669,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0314669,Yes - open access,REHOST PERMITTED - PLOS Creative Commons Attribution license with attribution,ADHD; Rejection Sensitivity; Criticism; Masking; Withdrawal; Bodily Sensations; Emotional Dysregulation; Qualitative; Open Access,10_2026_Rowney-Smith_Lived-Experience-Rejection-Sensitivity-ADHD.pdf
10-P1-02,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Rejection Sensitivity / Justice Sensitivity / Youth,"Bondu, R.; Esser, G.",2015,Justice and rejection sensitivity in children and adolescents with ADHD symptoms,European Child & Adolescent Psychiatry,"24(2), 185-198",Large cross-sectional community study,"1,235 German youth ages 10-19; ADHD symptoms, anxious and angry rejection sensitivity, justice sensitivity, self-esteem, depressive and conduct symptoms",10.1007/s00787-014-0560-9,https://doi.org/10.1007/s00787-014-0560-9,https://pubmed.ncbi.nlm.nih.gov/24878677/,Publisher access,LINK ONLY - Springer copyright,ADHD; Rejection Sensitivity; Anxious Rejection Sensitivity; Angry Rejection Sensitivity; Justice Sensitivity; Adolescents; Self-Esteem,10_2015_Bondu_Justice-Rejection-Sensitivity-ADHD-Youth.pdf
10-P1-03,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Rejection Sensitivity / Adult Relationships,"Canu, W. H.; Carlson, C. L.",2007,Rejection Sensitivity and Social Outcomes of Young Adult Men With ADHD,Journal of Attention Disorders,"10(3), 261-275",Case-control questionnaire study,"78 undergraduate men: 31 ADHD combined type, 22 ADHD primarily inattentive type, and 25 non-diagnosed controls",10.1177/1087054706288106,https://doi.org/10.1177/1087054706288106,https://pubmed.ncbi.nlm.nih.gov/17242422/,Publisher access,LINK ONLY - SAGE copyright,ADHD; Rejection Sensitivity; Adults; Relationships; Self-Esteem; Social Outcomes; Contradictory Evidence,10_2007_Canu_Carlson_Rejection-Sensitivity-Adult-ADHD.pdf
10-P1-04,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Peer Rejection / Neurophysiology / Self-Reported Rejection Sensitivity,"Babinski, D. E.; Kujawa, A.; Kessel, E. M.; Arfer, K. B.; Klein, D. N.",2019,Sensitivity to Peer Feedback in Young Adolescents with Symptoms of ADHD: Examination of Neurophysiological and Self-Report Measures,Journal of Abnormal Child Psychology,"47(4), 605-617",Community neurophysiological and self-report study,391 adolescents ages 10-15; ERP responses to peer acceptance/rejection plus self-reported rejection sensitivity,10.1007/s10802-018-0470-2,https://doi.org/10.1007/s10802-018-0470-2,https://pmc.ncbi.nlm.nih.gov/articles/PMC6395560/,Yes - PMC author manuscript,LINK ONLY - publisher/manuscript redistribution rights not independently cleared,ADHD; Rejection Sensitivity; Peer Feedback; Social Rejection; Social Acceptance; ERP; Adolescents; Neurophysiology,10_2019_Babinski_Peer-Feedback-Rejection-Sensitivity-ADHD.pdf
10-P1-05,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Social Rejection / Physiological Reactivity / Emotion Dysregulation,"McQuade, J. D.; Breaux, R. P.",2017,Are Elevations in ADHD Symptoms Associated with Physiological Reactivity and Emotion Dysregulation in Children?,Journal of Abnormal Child Psychology,"45(6), 1091-1103",Psychophysiological experimental study,61 children ages 9-13 with and without clinical elevations in ADHD symptoms; manipulated social rejection and failure tasks with RSA and skin-conductance measures,10.1007/s10802-016-0227-8,https://doi.org/10.1007/s10802-016-0227-8,https://pubmed.ncbi.nlm.nih.gov/27838892/,Publisher access,LINK ONLY - Springer copyright,ADHD; Social Rejection; Emotion Dysregulation; Physiological Reactivity; RSA; Children; Stress Response,10_2017_McQuade_Breaux_Social-Rejection-Physiology-ADHD.pdf
10-P1-06,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Criticism / Lived Experience / Adults,"Beaton, D. M.; Sirois, F.; Milne, E.",2022,Experiences of criticism in adults with ADHD: A qualitative study,PLOS ONE,"17(2), e0263366",Qualitative thematic-analysis study,"162 adults with self-reported ADHD diagnosis or high ADHD traits; written accounts of criticism from family, friends, and colleagues",10.1371/journal.pone.0263366,https://doi.org/10.1371/journal.pone.0263366,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263366,Yes - open access,REHOST PERMITTED - CC BY with attribution,ADHD; Criticism; Rejection; Self-Worth; Well-Being; Avoidance; Adults; Qualitative; Open Access,10_2022_Beaton_Experiences-Criticism-Adults-ADHD.pdf
10-P1-07,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Peer Rejection / Social Functioning / Meta-analysis,"Ros, R.; Graziano, P. A.",2018,Social Functioning in Children With or At Risk for Attention Deficit/Hyperactivity Disorder: A Meta-Analytic Review,Journal of Clinical Child & Adolescent Psychology,"47(2), 213-235",Meta-analysis,"109 studies; 104,813 participants; peer functioning, social skills, and social information processing",10.1080/15374416.2016.1266644,https://doi.org/10.1080/15374416.2016.1266644,https://pubmed.ncbi.nlm.nih.gov/28128989/,Publisher access,LINK ONLY - Taylor & Francis copyright,ADHD; Peer Rejection; Social Functioning; Social Skills; Social Cognition; Children; Meta-analysis,10_2018_Ros_Graziano_Social-Functioning-ADHD-Meta-Analysis.pdf
10-P1-08,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Friendship / Peer Rejection / Systematic Review,"Spender, K.; Chen, Y.-W. R.; Wilkes-Gillan, S.; Parsons, L.; Cantrill, A.; Simon, M.; Garcia, A.; Cordier, R.",2023,The friendships of children and youth with attention-deficit hyperactivity disorder: A systematic review,PLOS ONE,"18(8), e0289539",Systematic review,"24 studies; 1,509 participants with ADHD and 1,197 typically developing comparison participants",10.1371/journal.pone.0289539,https://doi.org/10.1371/journal.pone.0289539,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0289539,Yes - open access,REHOST PERMITTED - CC BY with attribution,ADHD; Friendship; Peer Rejection; Peer Victimization; Friendship Quality; Children; Adolescents; Systematic Review; Open Access,10_2023_Spender_Friendships-ADHD-Systematic-Review.pdf
10-P1-09,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Peer Rejection / Long-Term Outcomes / MTA,"Mrug, S.; Molina, B. S. G.; Hoza, B.; Gerdes, A. C.; Hinshaw, S. P.; Hechtman, L.; Arnold, L. E.",2012,Peer rejection and friendships in children with Attention-Deficit/Hyperactivity Disorder: contributions to long-term outcomes,Journal of Abnormal Child Psychology,"40(6), 1013-1026",Eight-year longitudinal cohort study,300 children with ADHD combined type from the Multimodal Treatment Study of Children with ADHD,10.1007/s10802-012-9610-2,https://doi.org/10.1007/s10802-012-9610-2,https://pmc.ncbi.nlm.nih.gov/articles/PMC3384771/,Yes - PMC author manuscript,LINK ONLY - Springer copyright / manuscript redistribution rights not independently cleared,ADHD; Peer Rejection; Friendship; Long-Term Outcomes; Anxiety; Global Impairment; MTA; Longitudinal,10_2012_Mrug_Peer-Rejection-Long-Term-Outcomes-ADHD.pdf
10-P1-10,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Peer Rejection / Developmental Cascades / MTA,"Murray-Close, D.; Hoza, B.; Hinshaw, S. P.; Arnold, L. E.; Swanson, J.; Jensen, P. S.; Hechtman, L.; Wells, K.",2010,Developmental Processes in Peer Problems of Children with ADHD in the MTA Study: Developmental Cascades and Vicious Cycles,Development and Psychopathology,"22(4), 785-802",Six-year longitudinal developmental study,536 children previously diagnosed with ADHD and 284 comparison participants followed from middle childhood into adolescence,10.1017/S0954579410000465,https://doi.org/10.1017/S0954579410000465,https://pmc.ncbi.nlm.nih.gov/articles/PMC3058512/,Yes - PMC author manuscript,LINK ONLY - Cambridge/publisher redistribution rights not independently cleared,ADHD; Peer Rejection; Developmental Cascades; Social Skills; Positive Illusory Bias; Adolescence; MTA; Longitudinal,10_2010_Murray-Close_Peer-Rejection-Developmental-Cascades.pdf
10-P1-11,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Peer Rejection / Sociometric Evidence,"Hoza, B.; Mrug, S.; Gerdes, A. C.; Hinshaw, S. P.; Bukowski, W. M.; Gold, J. A.; Kraemer, H. C.; Pelham, W. E. Jr.; Wigal, T.; Arnold, L. E.",2005,What aspects of peer relationships are impaired in children with attention-deficit/hyperactivity disorder?,Journal of Consulting and Clinical Psychology,"73(3), 411-423",Comparative sociometric study,"165 children with ADHD and 1,298 same-sex classmates serving as peer raters",10.1037/0022-006X.73.3.411,https://doi.org/10.1037/0022-006X.73.3.411,https://pubmed.ncbi.nlm.nih.gov/15982139/,Publisher access,LINK ONLY - APA copyright,ADHD; Peer Rejection; Social Preference; Friendship; Sociometric Status; Children; MTA,10_2005_Hoza_Peer-Relationships-ADHD.pdf
10-P1-12,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Emotional Dysregulation / Clinical Review,"Shaw, P.; Stringaris, A.; Nigg, J.; Leibenluft, E.",2014,Emotion dysregulation in attention deficit hyperactivity disorder,American Journal of Psychiatry,"171(3), 276-293",Peer-reviewed clinical and mechanistic review,"ADHD across the lifespan; prevalence, impairment, mechanisms, neurobiology, and treatment of emotion dysregulation",10.1176/appi.ajp.2013.13070966,https://doi.org/10.1176/appi.ajp.2013.13070966,https://pmc.ncbi.nlm.nih.gov/articles/PMC4282137/,Yes - PMC author manuscript,LINK ONLY - American Psychiatric Association copyright / manuscript redistribution rights not independently cleared,ADHD; Emotional Dysregulation; Emotional Lability; Negative Affect; Social Functioning; Review,10_2014_Shaw_Emotion-Dysregulation-ADHD-Review.pdf
10-P1-13,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Emotional Dysregulation / Adults / Meta-analysis,"Beheshti, A.; Chavanon, M.-L.; Christiansen, H.",2020,Emotion dysregulation in adults with attention deficit hyperactivity disorder: a meta-analysis,BMC Psychiatry,"20, 120",Meta-analysis,"13 studies; 2,535 adults; general emotion dysregulation, emotional lability, negative emotional responses, and emotion recognition",10.1186/s12888-020-2442-7,https://doi.org/10.1186/s12888-020-2442-7,https://link.springer.com/article/10.1186/s12888-020-2442-7,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Adults; Emotional Dysregulation; Emotional Lability; Negative Emotional Responses; Meta-analysis; Open Access,10_2020_Beheshti_Emotion-Dysregulation-Adult-ADHD-Meta-Analysis.pdf
10-P1-14,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Peer Inclusion / Social Intervention / Meta-analysis,"Cordier, R.; Vilaysack, B.; Doma, K.; Wilkes-Gillan, S.; Speyer, R.",2018,Peer Inclusion in Interventions for Children with ADHD: A Systematic Review and Meta-Analysis,BioMed Research International,"2018, 7693479",Systematic review and meta-analysis,17 controlled studies examining peer involvement or peer proximity in interventions for children with ADHD,10.1155/2018/7693479,https://doi.org/10.1155/2018/7693479,https://pmc.ncbi.nlm.nih.gov/articles/PMC5878915/,Yes - open access,REHOST PERMITTED - Creative Commons Attribution license with attribution,ADHD; Peer Inclusion; Social Functioning; Peer Relationships; Intervention; Children; Meta-analysis; Open Access,10_2018_Cordier_Peer-Inclusion-ADHD-Meta-Analysis.pdf
10-P1-15,10. Scaffold 10 - Understanding Rejection Sensitivity,Candidate,Pass 1,Rejection Sensitivity / Foundational Construct,"Downey, G.; Feldman, S. I.",1996,Implications of rejection sensitivity for intimate relationships,Journal of Personality and Social Psychology,"70(6), 1327-1343",Foundational multi-study rejection-sensitivity construct and measurement paper,Multiple studies operationalizing anxious expectations of rejection and examining perception and relationship outcomes; not ADHD-specific,10.1037/0022-3514.70.6.1327,https://doi.org/10.1037/0022-3514.70.6.1327,https://pubmed.ncbi.nlm.nih.gov/8667172/,Publisher/author access,LINK ONLY - APA copyright,Rejection Sensitivity; Foundational Construct; Rejection Sensitivity Questionnaire; Social Rejection; Relationships; Not ADHD-Specific,10_1996_Downey_Feldman_Rejection-Sensitivity-Foundational.pdf
11-01,11. Women with ADHD,Final,,Recognition / Diagnosis / Lifespan Consensus,"Young, S.; Adamo, N.; Asgeirsdottir, B. B.; Branney, P.; Beckett, M.; Colley, W.; Cubbin, S.; Deeley, Q.; Farrag, E.; Gudjonsson, G.; Hill, P.; Hollingdale, J.; Kilic, O.; Lloyd, T.; Mason, P.; Paliokosta, E.; Perecherla, S.; Sedgwick, J.; Skirrow, C.; Tierney, K.; van Rensburg, K.; Woodhouse, E.",2020,Females with ADHD: An expert consensus statement taking a lifespan approach providing guidance for the identification and treatment of attention-deficit/hyperactivity disorder in girls and women,BMC Psychiatry,"20, 404",Expert consensus statement and evidence-informed clinical review,"Girls and women with ADHD across the lifespan; recognition, referral, assessment, treatment, masking/compensation, comorbidity, and transitions",10.1186/s12888-020-02707-9,https://doi.org/10.1186/s12888-020-02707-9,https://pmc.ncbi.nlm.nih.gov/articles/PMC7422602/,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Girls; Women; Diagnosis; Recognition; Masking; Compensation; Lifespan; Consensus; Open Access,11_2020_Young_Females-ADHD-Expert-Consensus.pdf
11-02,11. Women with ADHD,Final,,Underrepresentation / Lifespan / Longitudinal Review,"Hinshaw, S. P.; Nguyen, P. T.; O'Grady, S. M.; Rosenthal, E. A.",2022,"Annual Research Review: Attention-deficit/hyperactivity disorder in girls and women: underrepresentation, longitudinal processes, and key directions",Journal of Child Psychology and Psychiatry,"63(4), 484-496",Annual research review,"Girls and women across the lifespan; prevalence, diagnostic practices, comorbidity, causal factors, longitudinal outcomes, and underrepresentation",10.1111/jcpp.13480,https://doi.org/10.1111/jcpp.13480,https://pubmed.ncbi.nlm.nih.gov/34231220/,Publisher/repository access,LINK ONLY - Wiley copyright,ADHD; Girls; Women; Underrepresentation; Diagnosis; Longitudinal; Lifespan; Review,11_2022_Hinshaw_Girls-Women-ADHD-Annual-Review.pdf
11-03,11. Women with ADHD,Final,,Female Presentation / Item-Level Symptoms / Systematic Review,"Williams, T.; Horstmann, L.; Kayani, L.; Lim, A. X. H.; Russell, A.; Ford, T.; John, A.; Sayal, K.; Thapar, A.; Langley, K.; Martin, J.",2025,An item-level systematic review of the presentation of ADHD in females,Neuroscience & Biobehavioral Reviews,"171, 106064",Systematic review,13 studies comparing individual ADHD symptoms and impacts in females with ADHD versus males with ADHD and females without ADHD,10.1016/j.neubiorev.2025.106064,https://doi.org/10.1016/j.neubiorev.2025.106064,https://www.sciencedirect.com/science/article/pii/S0149763425000648,Yes - open access,REHOST PERMITTED - CC BY 4.0 with attribution and license terms,ADHD; Females; Girls; Women; Symptom Presentation; Inattention; Hyperactivity; Mind Wandering; Missed Diagnosis; Systematic Review,11_2025_Williams_Item-Level-Female-ADHD-Presentation.pdf
